ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-02,13.390934646565242,11.312949609265251,14.916729802348536,13.390934646565242,13.390934646565242,-0.25812090287523126,-0.25812090287523126,-0.25812090287523126,-0.20123602232261492,-0.20123602232261492,-0.20123602232261492,-0.05688488055261639,-0.05688488055261639,-0.05688488055261639,0.0,0.0,0.0,13.132813743690011
2017-01-03,13.417021925680855,11.527874379991761,14.937727494295586,13.417021925680855,13.417021925680855,-0.1849106253877518,-0.1849106253877518,-0.1849106253877518,-0.17314662172282638,-0.17314662172282638,-0.17314662172282638,-0.011764003664925441,-0.011764003664925441,-0.011764003664925441,0.0,0.0,0.0,13.232111300293102
2017-01-04,13.443109204796468,11.49510224511575,14.955520519065407,13.443109204796468,13.443109204796468,-0.18877713022208134,-0.18877713022208134,-0.18877713022208134,-0.2293521017915754,-0.2293521017915754,-0.2293521017915754,0.040574971569494016,0.040574971569494016,0.040574971569494016,0.0,0.0,0.0,13.254332074574386
2017-01-05,13.469196483912082,11.59066355357232,14.988056642152916,13.469196483912082,13.469196483912082,-0.11950984562559233,-0.11950984562559233,-0.11950984562559233,-0.21873664759105924,-0.21873664759105924,-0.21873664759105924,0.09922680196546695,0.09922680196546695,0.09922680196546695,0.0,0.0,0.0,13.34968663828649
2017-01-06,13.495283763027697,11.771077598347354,15.125312779004656,13.495283763027697,13.495283763027697,-0.01745725094573156,-0.01745725094573156,-0.01745725094573156,-0.18066258325872156,-0.18066258325872156,-0.18066258325872156,0.16320533231299,0.16320533231299,0.16320533231299,0.0,0.0,0.0,13.477826512081965
2017-01-09,13.573545600374537,11.953666684600767,15.475170179978084,13.573545600374537,13.573545600374537,0.17524873777580172,0.17524873777580172,0.17524873777580172,-0.20123602232258156,-0.20123602232258156,-0.20123602232258156,0.3764847600983833,0.3764847600983833,0.3764847600983833,0.0,0.0,0.0,13.748794338150338
2017-01-10,13.59963287949015,12.24432541750976,15.590446127877975,13.59963287949015,13.59963287949015,0.2779121805137118,0.2779121805137118,0.2779121805137118,-0.1731466217229764,-0.1731466217229764,-0.1731466217229764,0.4510588022366882,0.4510588022366882,0.4510588022366882,0.0,0.0,0.0,13.877545060003861
2017-01-11,13.625720158605763,12.214023041265019,15.768673526001372,13.625720158605763,13.625720158605763,0.29623398436193155,0.29623398436193155,0.29623398436193155,-0.22935210179151796,-0.22935210179151796,-0.22935210179151796,0.5255860861534496,0.5255860861534496,0.5255860861534496,0.0,0.0,0.0,13.921954142967694
2017-01-12,13.651807437721377,12.292113400242068,15.610613435135317,13.651807437721377,13.651807437721377,0.3803191761016943,0.3803191761016943,0.3803191761016943,-0.21873664759057734,-0.21873664759057734,-0.21873664759057734,0.5990558236922716,0.5990558236922716,0.5990558236922716,0.0,0.0,0.0,14.032126613823072
2017-01-13,13.67789471683699,12.499290516561826,15.907161591577596,13.67789471683699,13.67789471683699,0.489862057305993,0.489862057305993,0.489862057305993,-0.1806625832581939,-0.1806625832581939,-0.1806625832581939,0.6705246405641869,0.6705246405641869,0.6705246405641869,0.0,0.0,0.0,14.167756774142983
2017-01-16,13.75615655418383,12.598290674945533,16.255520294784123,13.75615655418383,13.75615655418383,0.6635894577807377,0.6635894577807377,0.6635894577807377,-0.20123602232207413,-0.20123602232207413,-0.20123602232207413,0.864825480102812,0.864825480102812,0.864825480102812,0.0,0.0,0.0,14.419746011964568
2017-01-17,13.782243833299445,12.884594225043193,16.346231062279266,13.782243833299445,13.782243833299445,0.7475719576829575,0.7475719576829575,0.7475719576829575,-0.17314662172280607,-0.17314662172280607,-0.17314662172280607,0.9207185794057635,0.9207185794057635,0.9207185794057635,0.0,0.0,0.0,14.529815790982402
2017-01-18,13.808331112415056,12.880241782729795,16.402697056335047,13.808331112415056,13.808331112415056,0.7420292540498891,0.7420292540498891,0.7420292540498891,-0.2293521017915987,-0.2293521017915987,-0.2293521017915987,0.9713813558414878,0.9713813558414878,0.9713813558414878,0.0,0.0,0.0,14.550360366464945
2017-01-19,13.83441839153067,12.94958487832923,16.419684737648247,13.83441839153067,13.83441839153067,0.7977855134815595,0.7977855134815595,0.7977855134815595,-0.21873664759114475,-0.21873664759114475,-0.21873664759114475,1.0165221610727042,1.0165221610727042,1.0165221610727042,0.0,0.0,0.0,14.63220390501223
2017-01-20,13.860505670646285,12.85497948227513,16.443726430496188,13.860505670646285,13.860505670646285,0.8753100149673565,0.8753100149673565,0.8753100149673565,-0.18066258325826148,-0.18066258325826148,-0.18066258325826148,1.0559725982256178,1.0559725982256178,1.0559725982256178,0.0,0.0,0.0,14.735815685613641
2017-01-23,13.938767507993127,13.160236864536571,16.6326067185589,13.938767507993127,13.938767507993127,0.9390161438953122,0.9390161438953122,0.9390161438953122,-0.20123602232254303,-0.20123602232254303,-0.20123602232254303,1.1402521662178553,1.1402521662178553,1.1402521662178553,0.0,0.0,0.0,14.87778365188844
2017-01-24,13.964854787108738,13.180050036282253,16.696353891234146,13.964854787108738,13.964854787108738,0.9843947411361785,0.9843947411361785,0.9843947411361785,-0.17314662172263567,-0.17314662172263567,-0.17314662172263567,1.157541362858814,1.157541362858814,1.157541362858814,0.0,0.0,0.0,14.949249528244916
2017-01-26,14.017029345339967,13.305523910930829,16.61608748550104,14.017029345339967,14.017029345339967,0.9590999870702026,0.9590999870702026,0.9590999870702026,-0.21873664759066283,-0.21873664759066283,-0.21873664759066283,1.1778366346608653,1.1778366346608653,1.1778366346608653,0.0,0.0,0.0,14.97612933241017
2017-01-27,14.043116624455578,13.367412379024348,16.74793046659868,14.043116624455578,14.043116624455578,1.001054610090191,1.001054610090191,1.001054610090191,-0.18066258325881368,-0.18066258325881368,-0.18066258325881368,1.1817171933490045,1.1817171933490045,1.1817171933490045,0.0,0.0,0.0,15.04417123454577
